verdict,source,altid,name,category,episodes_in_json,json_photoUrl_key_present,json_photoUrl_raw,schedule_json_slots,schedule_json_photoUrl_raw,confessor_pub_sched_image,pub_sched_http,rss_listed,rss_image,rss_image_http
JSON_EMPTY — IMAGE EXISTS ELSEWHERE,2kpfk,biketalk,Bike Talk Podcast,Public Affairs - Local,13,true,"""""",0,,,,true,https://archive.kpfk.org/pix/biketalkpodcast_it_1492.jpg,200 image/jpeg 122351B
JSON_EMPTY — IMAGE EXISTS ELSEWHERE,2kpfk,scholacirclepodast,Scholars Circle - Podcast,Public Affairs - Local,11,true,"""""",0,,,,true,https://archive.kpfk.org/pix/scholarscircle-podcast_it_1686.jpg,200 image/jpeg 400817B
EMPTY IN ALL CHECKED SOURCES,kpfk,americanindian,American Indian Airwaves,Public Affairs - Local,6,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,true,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,bradcast2,BradCast w/ Brad Friedman,Public Affairs- National+Syndicated,42,true,"""""",0,,,,true,,
EMPTY IN ALL CHECKED SOURCES,kpfk,solartopia,California  Solartopia,Public Affairs - Local,9,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,true,,
EMPTY IN ALL CHECKED SOURCES,kpfk,cinemascore,CinemaScore,Music,2,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,true,,
EMPTY IN ALL CHECKED SOURCES,kpfk,contactoancestral,Contacto Ancestral,Español,11,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,true,,
EMPTY IN ALL CHECKED SOURCES,kpfk,counterspin,Counterspin,Public Affairs- National+Syndicated,4,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,true,,
EMPTY IN ALL CHECKED SOURCES,kpfk,eastsidestoryradio,East Side Radio,Music,2,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,hablanddesudamer,Hablando de Sudamerica,Español,8,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,true,,
EMPTY IN ALL CHECKED SOURCES,kpfk,realrockriffsamprhyth,In The Cut Radio,Music,2,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,false,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,informap,Informativo Pacifica Online,Español,41,true,"""""",0,,,,true,,
EMPTY IN ALL CHECKED SOURCES,kpfk,makingcontact,Making Contact,Public Affairs - Local,4,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,true,,
EMPTY IN ALL CHECKED SOURCES,kpfk,perspectiva,Perspectiva de Las Americas,Español,8,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,true,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,politicorpedagog,Politics Or Pedagogy? 3 min edition,Public Affairs - Local,13,true,"""""",0,,,,true,,
EMPTY IN ALL CHECKED SOURCES,kpfk,radiomaiz,Radio Maiz,Español,8,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,true,,
EMPTY IN ALL CHECKED SOURCES,kpfk,sendedeoaxacoasiesnuestcultu,Senderos de Oaxaca,Español,8,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,true,,
EMPTY IN ALL CHECKED SOURCES,kpfk,somethingshappening,Something's Happening A  hour 1,Public Affairs - Local,32,true,"""""",12,"""https://confessor.kpfk.org/pix""",,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,somethihappenihour,Something's Happening A  hour 2,Public Affairs - Local,32,true,"""""",12,"""https://confessor.kpfk.org/pix""",,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,somethihappenihoura,Something's Happening A  hour 3,Public Affairs - Local,32,true,"""""",12,"""https://confessor.kpfk.org/pix""",,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,somethingshappeningb,Something's Happening B Hour 1,Public Affairs- National+Syndicated,31,true,"""""",12,"""https://confessor.kpfk.org/pix""",,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,somethihappenibhour,Something's Happening B Hour 2,Public Affairs- National+Syndicated,31,true,"""""",12,"""https://confessor.kpfk.org/pix""",,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,somethihappenibhoura,Something's Happening B Hour 3,Public Affairs- National+Syndicated,31,true,"""""",12,"""https://confessor.kpfk.org/pix""",,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,specialmusicprogramm,Special Music Programming,Special Program,2,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,special,Special Programming,Special Program,3,true,"""""",3,"""https://confessor.kpfk.org/pix""",,,false,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,swanapodcast,SWANA Podcast,Public Affairs - Local,4,true,"""""",0,,,,true,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,outagenda,The Out Agenda - Online,Public Affairs - Local,13,true,"""""",0,,,,true,,
EMPTY IN ALL CHECKED SOURCES,kpfk,peoplegamea,The People's Game,Public Affairs - Local,3,true,"""""",0,,,,true,,
EMPTY IN ALL CHECKED SOURCES,kpfk,accessunlimitea,Access Unlimited,Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,animalagenda,"Animal Agenda, The",Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,bibliocracya,Bibliocracy,Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,buildingbridges,Building Bridges,Public Affairs- National+Syndicated,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,californiasolartopia,California Solartopia,Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,goharrison,Cary Harrison Files - Podcast,Public Affairs- National+Syndicated,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,connectopod,Connectopod,Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,constituency,"Constituency, The",Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,gyamfi,Conversations On the Way: The Asafo Edition,Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,covidrace,"Covid, Race & Democracy Online",Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,creativefrontline,Creative Frontline,Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,crosbstillnashyoungliveatfillmeast,Crosby Stills Nash & Young Live at the FIllmore East,Special Program,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,digitavillagpodcas,Digital Village - Podcast,Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,econ,Economic Update w/Richard Wolff,Public Affairs- National+Syndicated,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,elnotici,El Noticiero,Español,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,exploration,Exploration,Arts & Entertainment,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,feministmagazine,Feminist Magazine,Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,flashpointsa,Flashpoints,Public Affairs- National+Syndicated,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,grayzone,Grayzone Radio,Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,greenstreet,Green Street,Public Affairs- National+Syndicated,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,healthampwellnemix,Health & Wellness Mix,Health & Spirituality,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,kpfapublicforummitchjeseri,KPFA Public Forum with Mitch Jeserich,Special Program,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,flanders,Laura Flanders and Friends,Public Affairs- National+Syndicated,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,livespecialcoveragfrompacificnetwor,LIVE SPECIAL COVERAGE from Pacifica Network,Special Program,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,martluthkingpra,MLK Radio Archives,Special Program,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,musiqueyjuventu,MUSIQUEROS Y JUVENTUD,Español,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,nokingsspecia,No Kings Special,Special Program,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,nokingsspeci,No Kings Special,Special Program,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,ongroun,On the Ground,Public Affairs- National+Syndicated,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,pacificadelegateelections,Pacifica Delegate Elections,Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,pacificaradioarchivesnationalspecia,Pacifica Radio Archives national special,Public Affairs- National+Syndicated,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,2kpfk,poetcafewhypoet,Poet's Cafe,Arts & Entertainment,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,onemoresundanight,Primal Dead,Music,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,putamaworldmusichour,Putamayo World Music Hour,Music,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,radiofreepalesti,Radio Free Palestine,Public Affairs- National+Syndicated,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,mornimixhamidkhan,Radio Insurrection w/Hamid Khan and Matyos Kidane,Public Affairs - Local,0,true,"""""",0,,,,false,,
EMPTY IN ALL CHECKED SOURCES,kpfk,rintifada,Radio Intifada (SWANA Region Radio),Public Affairs- National+Syndicated,0,true,"""""",0,,,,false,,
